kitGroup,labourGroup,kitName,mainPart,hoursPanelAssembly,hoursWiring,hoursBusbarFabrication
ACB,ACB frame 2,2500A 3P FIXED MOTORIZED ACB-KIT,3WJ1225-2AE02-4AD0,,,
ACB,ACB frame 2,2500A 4P FIXED MOTORIZED ACB-KIT,3WJ1225-2AE12-4AD0,,,
ACB,ACB frame 2,2500A 3P WITHDRAWABLE MOTORIZED ACB-KIT,3WJ1225-2AE32-4AD0,,,
ACB,ACB frame 2,2500A 4P WITHDRAWABLE MOTORIZED ACB-KIT,3WJ1225-2AE42-4AD0,,,
ACB,ACB frame 2,2500A 4P WITHDRAWABLE MOTORIZED ACB with changeover accessories-KIT,3WJ1225-2AE42-4DD0-Z F40+R55+T40,,,
ACB,ACB frame 2,3200A 3P FIXED MANUAL ACB-KIT,3WJ1232-2AE02-1AD0,,,
ACB,ACB frame 2,3200A 4P FIXED MANUAL ACB-KIT,3WJ1232-2AE12-1AD0,,,
ACB,ACB frame 2,3200A 3P WITHDRAWABLE MANUAL ACB-KIT,3WJ1232-2AE32-1AD0,,,
ACB,ACB frame 2,3200A 4P WITHDRAWABLE MANUAL ACB-KIT,3WJ1232-2AE42-1AD0,,,
ACB,ACB frame 2,3200A 3P FIXED MOTORIZED ACB-KIT,3WJ1232-2AE02-4AD0,,,
ACB,ACB frame 2,3200A 4P FIXED MOTORIZED ACB-KIT,3WJ1232-2AE12-4AD0,,,
ACB,ACB frame 2,3200A 3P WITHDRAWABLE MOTORIZED ACB-KIT,3WJ1232-2AE32-4AD0,,,
ACB,ACB frame 2,3200A 4P WITHDRAWABLE MOTORIZED ACB-KIT,3WJ1232-2AE42-4AD0,,,
ACB,ACB frame 2,3200A 4P WITHDRAWABLE MOTORIZED ACB with changeover accessories-KIT,3WJ1232-2AE42-4DD0-Z F40+R55+T40,,,
ACB,ACB frame 2,4000A 3P FIXED MANUAL ACB-KIT,3WJ1240-2AE01-1AD0,,,
ACB,ACB frame 2,4000A 4P FIXED MANUAL ACB-KIT,3WJ1240-2AE11-1AD0,,,
ACB,ACB frame 2,4000A 3P WITHDRAWABLE MANUAL ACB-KIT,3WJ1240-2AE31-1AD0,,,
ACB,ACB frame 2,4000A 4P WITHDRAWABLE MANUAL ACB-KIT,3WJ1240-2AE41-1AD0,,,
ACB,ACB frame 2,4000A 3P FIXED MOTORIZED ACB-KIT,3WJ1240-2AE01-4AD0,,,
ACB,ACB frame 2,4000A 4P FIXED MOTORIZED ACB-KIT,3WJ1240-2AE11-4AD0,,,
ACB,ACB frame 2,4000A 3P WITHDRAWABLE MOTORIZED ACB-KIT,3WJ1240-2AE31-4AD0,,,
ACB,ACB frame 2,4000A 4P WITHDRAWABLE MOTORIZED ACB-KIT,3WJ1240-2AE41-4AD0,,,
ACB,ACB frame 2,4000A 4P WITHDRAWABLE MOTORIZED ACB with changeover accessories-KIT,3WJ1240-2AE41-4DD0-Z F40+R55+T40,,,
MCCB,MCCB,"20A,TP,MCCB, Adjustable, 25KA-KIT",3VJ1002-3DB32-0AA0,,,
MCCB,MCCB,"25A,TP,MCCB, Adjustable, 25KA-KIT",3VJ1092-3DB32-0AA0,,,
